043-054-061
232-060-077
252-192-032
000-175-182
101-199-241
156-164-038
182-125-086
135-123-118
000-000-255
255-193-224
198-206-196
255-151-047
255-225-128
255-125-190
172-202-204
197-210-166
236-223-225
216-251-181
206-253-225
232-232-000
171-152-157
193-178-182
208-196-197
145-157-157
166-236-220
222-248-242
255-238-193
208-165-149
181-92-128
201-128-158
250-110-54
193-193-255
255-163-139
255-215-196
221-201-228
255-201-174
197-232-108
212-236-142
101-141-27
248-224-142
235-210-110
248-164-187
234-190-219
255-190-159
228-187-234
146-193-233
156-219-217
162-228-184
194-225-137
106-209-227
255-174-98
198-218-231
208-222-187
155-227-191
243-207-179
179-176-196
164-219-232
252-076-002
151-215-000
141-200-232
61-82-101
252-210-153
255-179-171
170-221-150
240-232-206
204-153-153
150-210-5
210-54-125
128-255-128
226-164-95
255-187-255
255-128-0
255-128-128
111-244-11
215-243-99
254-243-50
253-249-174
251-214-100
159-221-221
46-217-182
167-136-183
175-175-175
215-214-214
128-255-255
255-128-192
142-187-210
12-208-214
240-225-255
84-197-247
149-234-206
